,State,Marriages_2019,Marriages_2018,Marriages_2017,Marriages_2016,Marriages_2015,Marriages_2014,Marriages_2013,Marriages_2012,Marriages_2011,Marriages_2010,Marriages_2009,Marriages_2008,Divorces_2007,Marriages_2006,Marriages_2005,Marriages_2004,Divorces_2003,Marriages_2002,Marriages_2001,Marriages_2000,Marriages_1999,Marriages_1995,Marriages_1990,Divorces_2019,Divorces_2018,Divorces_2017,Divorces_2016,Divorces_2015,2014_Divorces,2013_Divorces,2012_Divorces,Divorces_2011,Divorces_2010,Divorces_2009,Divorces_2008,2007_y,Divorces_2006,Divorces_2005,Divorces_2004,2003_y,Divorces_2002,Divorces_2001,Divorces_2000,Divorces_1999,Divorces_1995,Divorces_1990
38,Pennsylvania,5.4,5.5,5.7,5.8,5.7,5.8,5.4,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6.0,6.1,6.2,7.1,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.3
39,Rhode Island,6.1,6.3,6.8,6.7,6.4,6.7,6.2,6.1,6.0,5.8,5.9,6.1,6.4,6.6,7.0,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1,2.7,2.9,2.9,2.8,3.0,2.8,3.1,3.2,3.2,3.2,3.0,2.7,2.8,3.0,3.0,3.1,3.1,3.2,3.2,2.9,2.7,3.6,3.7
40,South Carolina,6.3,6.6,7.0,6.6,7.5,7.6,7.1,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9.0,9.3,9.9,10.6,10.2,11.9,15.9,2.6,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3.0,2.8,3.0,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,3.9,4.5
41,South Dakota,6.1,6.5,6.7,7.2,7.2,7.1,7.0,7.5,7.5,7.3,7.3,7.7,7.8,8.0,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1,2.6,2.6,2.7,2.8,2.6,2.8,2.9,3.0,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3.0,3.3,3.3,3.5,3.7,3.9,3.7
42,Tennessee,7.5,8.0,8.2,8.6,8.5,8.4,8.4,8.8,9.0,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9,3.5,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5.0,5.1,5.2,5.9,5.8,6.2,6.5
43,Texas,4.9,6.1,7.1,7.1,7.2,6.9,7.0,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8.0,8.1,8.4,9.1,9.4,9.1,9.9,10.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4.0,4.0,3.8,5.2,5.5
44,Utah,8.1,8.4,8.7,9.0,8.1,7.3,7.5,8.4,8.6,8.5,8.4,9.0,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4.0,4.1,4.2,4.3,4.0,4.4,5.1
45,Vermont,7.7,7.9,7.9,8.3,8.1,8.7,9.2,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10.0,10.0,10.3,10.9,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4.0,4.2,4.3,4.1,4.4,4.7,4.5
46,Virginia,6.1,6.4,6.8,7.0,7.0,6.7,6.7,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4,2.9,3.1,3.0,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4.0,4.0,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.4
47,Washington,5.7,6.0,6.2,6.2,6.2,7.0,7.1,6.3,6.1,6.0,6.0,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7.0,6.9,7.2,7.7,9.5,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4.0,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5.0,5.4,5.9
48,West Virginia,6.0,6.1,6.3,6.4,6.6,6.7,6.6,7.0,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2,3.6,3.3,3.5,3.8,4.0,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5.0,5.1,5.0,5.2,5.2,5.2,5.1,4.9,5.2,5.3
49,Wisconsin,5.0,5.4,5.6,5.6,5.6,5.7,5.2,5.4,5.3,5.3,5.3,5.6,5.7,6.0,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7.0,7.9,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.6
50,Wyoming,7.0,7.1,7.1,7.1,7.3,7.7,7.5,7.6,7.8,7.6,8.0,8.6,9.0,9.3,9.3,9.3,9.3,9.5,10.0,10.0,9.9,10.6,10.7,3.8,3.8,4.0,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6
